CPU,Memory,Cost,Tag,Cloud
69.93,73.86,51.45,m5.large,AWS
60.02,68.32,38.18,n1-standard-2,AWS
46.55,39.53,19.44,n1-standard-1,AWS
7.75,11.3,51.69,m5.large,Azure
38.66,28.81,28.03,t2.medium,Azure
100.0,74.29,56.22,Standard_B2ms,AWS
35.99,36.05,5.56,t2.micro,AWS
49.33,56.93,79.54,c5.xlarge,AWS
58.76,47.4,51.79,Standard_E2s_v3,Azure
48.28,60.46,4.27,t2.micro,Azure
57.69,50.09,82.92,c5.xlarge,Azure
30.76,25.48,45.3,Standard_B2ms,AWS
42.82,33.15,65.34,Standard_D2s_v3,Azure
71.1,56.18,42.89,n1-standard-2,AWS
66.63,62.54,31.31,c5.large,Azure
76.23,73.18,70.26,Standard_B2ms,GCP
61.51,63.23,56.29,n1-standard-2,AWS
100.0,86.78,57.83,c5.xlarge,GCP
61.74,51.43,56.39,m5.large,AWS
45.38,41.43,21.06,Standard_B2s,AWS
40.45,44.61,129.72,n2-standard-4,GCP
59.63,48.87,65.23,n1-standard-2,AWS
42.36,32.84,52.46,Standard_D2s_v3,Azure
6.9,7.32,37.45,m5.large,GCP
52.1,52.0,27.67,t2.medium,Azure
54.67,38.12,79.74,n1-standard-4,Azure
56.08,53.02,96.64,n2-standard-4,Azure
48.51,43.72,115.25,c5.xlarge,Azure
75.57,65.64,28.1,t2.medium,AWS
80.29,84.68,19.89,n1-standard-1,GCP
37.17,23.95,27.52,t2.medium,AWS
60.18,47.12,53.15,m5.large,GCP
38.45,52.67,37.67,n1-standard-2,GCP
48.58,52.82,128.38,n2-standard-4,AWS
26.07,20.38,143.19,n2-standard-4,GCP
31.2,33.24,114.02,c5.xlarge,Azure
59.51,62.49,34.57,n1-standard-2,Azure
59.07,45.86,19.0,t2.medium,Azure
97.32,100.0,39.05,c5.large,Azure
41.48,38.86,30.18,n1-standard-1,AWS
69.8,61.61,45.05,Standard_D2s_v3,GCP
70.82,70.72,61.41,n1-standard-2,Azure
50.24,53.67,28.16,n1-standard-1,Azure
55.76,43.28,73.99,n2-standard-2,AWS
50.98,39.65,32.5,n1-standard-1,AWS
46.86,45.71,62.34,n2-standard-2,GCP
58.85,62.52,58.82,n1-standard-2,AWS
64.62,73.18,70.03,c5.xlarge,Azure
61.44,67.22,57.84,n2-standard-2,AWS
71.29,75.76,139.72,Standard_D4s_v3,GCP
64.27,89.91,59.33,Standard_D2s_v3,AWS
