CPU,Memory,Cost,Tag,Cloud,Cloud_encoded,Tag_encoded
69.93,73.86,51.45,m5.large,AWS,0,7
60.02,68.32,38.18,n1-standard-2,AWS,0,10
46.55,39.53,19.44,n1-standard-1,AWS,0,9
7.75,11.3,51.69,m5.large,Azure,1,7
38.66,28.81,28.03,t2.medium,Azure,1,14
100.0,74.29,56.22,Standard_B2ms,AWS,0,0
35.99,36.05,5.56,t2.micro,AWS,0,15
49.33,56.93,79.54,c5.xlarge,AWS,0,6
58.76,47.4,51.79,Standard_E2s_v3,Azure,1,4
48.28,60.46,4.27,t2.micro,Azure,1,15
57.69,50.09,82.92,c5.xlarge,Azure,1,6
30.76,25.48,45.3,Standard_B2ms,AWS,0,0
42.82,33.15,65.34,Standard_D2s_v3,Azure,1,2
71.1,56.18,42.89,n1-standard-2,AWS,0,10
66.63,62.54,31.31,c5.large,Azure,1,5
76.23,73.18,70.26,Standard_B2ms,GCP,2,0
61.51,63.23,56.29,n1-standard-2,AWS,0,10
100.0,86.78,57.83,c5.xlarge,GCP,2,6
61.74,51.43,56.39,m5.large,AWS,0,7
45.38,41.43,21.06,Standard_B2s,AWS,0,1
40.45,44.61,129.72,n2-standard-4,GCP,2,13
59.63,48.87,65.23,n1-standard-2,AWS,0,10
42.36,32.84,52.46,Standard_D2s_v3,Azure,1,2
6.9,7.32,37.45,m5.large,GCP,2,7
52.1,52.0,27.67,t2.medium,Azure,1,14
54.67,38.12,79.74,n1-standard-4,Azure,1,11
56.08,53.02,96.64,n2-standard-4,Azure,1,13
48.51,43.72,115.25,c5.xlarge,Azure,1,6
75.57,65.64,28.1,t2.medium,AWS,0,14
80.29,84.68,19.89,n1-standard-1,GCP,2,9
37.17,23.95,27.52,t2.medium,AWS,0,14
60.18,47.12,53.15,m5.large,GCP,2,7
38.45,52.67,37.67,n1-standard-2,GCP,2,10
48.58,52.82,128.38,n2-standard-4,AWS,0,13
26.07,20.38,143.19,n2-standard-4,GCP,2,13
31.2,33.24,114.02,c5.xlarge,Azure,1,6
59.51,62.49,34.57,n1-standard-2,Azure,1,10
59.07,45.86,19.0,t2.medium,Azure,1,14
97.32,100.0,39.05,c5.large,Azure,1,5
41.48,38.86,30.18,n1-standard-1,AWS,0,9
